University_link,Picture_Url,University_Name,nation_flag_picture,Country,City,Rank_In_World,Description,Global_Score,Enrollment,country_latitude,country_longitude,city_latitude,city_longitude
https://www.usnews.com/education/best-global-universities/harvard-university-166027,https://www.usnews.com/object/image/0000014e-d02b-d0b6-afdf-d03b72820000/$150727harvard?size=responsive300&update-time=1444057405951,Harvard University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Cambridge (U.S.),#1,"Founded in 1636, Harvard University is the oldest higher education institution in the U.S. The bulk of Harvard's...",100.0,"21,887",39.7837304,-100.445882,14.5706911,121.0795564
https://www.usnews.com/education/best-global-universities/cornell-university-190415,https://www.usnews.com/object/image/00000158-2636-d7c3-a3ff-f7767d480000/$161102_Cornell?size=responsive300&update-time=1479223700443,Cornell University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Ithaca,#21,"Cornell University is a private institution that was founded in 1865. The Ivy League school is located in Ithaca, New...",82.9,"24,027",39.7837304,-100.445882,42.4396039,-76.4968019
https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796,https://www.usnews.com/static-atlas/assets/img/education/education.svg,University of Melbourne,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg,Australia,Parkville,#27,The University of Melbourne is a public institution that was founded in 1853. The university has seven campuses...,80.3,,-24.7761086,134.755,39.3868522,-76.55086176363942
https://www.usnews.com/education/best-global-universities/university-of-sydney-505369,https://www.usnews.com/object/image/00000157-8ffc-dca0-ad7f-cfffa0010000/$161004_UniofSydney?size=responsive300&update-time=1475589551709,University of Sydney,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg,Australia,Sydney,#28,"The University of Sydney was founded in 1850, making it the oldest university in Australia. The public institution is...",79.9,"47,118",-24.7761086,134.755,-33.8698439,151.2082848
https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976,https://www.usnews.com/object/image/00000155-7e9e-d3ec-a9fd-7fdfc7240000/$160623_UBC?size=responsive300&update-time=1466708333713,University of British Columbia,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/CAN.svg,Canada,Vancouver,#35,The University of British Columbia is a public institution located in the Canadian province of British Columbia. The...,77.5,"58,590",61.0666922,-107.991707,49.2608724,-123.113952
https://www.usnews.com/education/best-global-universities/university-of-queensland-500164,https://www.usnews.com/object/image/00000157-902c-dca0-ad7f-d8bffa2f0000/$161004_UQ?size=responsive300&update-time=1475592705802,University of Queensland,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg,Australia,Brisbane,#36,The University of Queensland Australia is a public institution that was established in 1909. It is located in and around...,77.2,"41,372",-24.7761086,134.755,-27.4689682,153.0234991
https://www.usnews.com/education/best-global-universities/monash-university-500301,https://www.usnews.com/object/image/00000153-ec2c-d802-ab7f-feacb9230000/$160406_MonashU?size=responsive300&update-time=1459956316556,Monash University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/AUS.svg,Australia,Clayton,#37,Monash University is a public institution that was established in 1958. It is located in the state of Victoria in...,77.0,"58,725",-24.7761086,134.755,33.5204959,-84.3591713
https://www.usnews.com/education/best-global-universities/mcgill-university-499986,https://www.usnews.com/object/image/00000156-6b7c-d0b3-ad56-ff7dbd8b0000/$160808_McGillUniversity?size=responsive300&update-time=1470682544421,McGill University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/CAN.svg,Canada,Montreal,#54,"McGill University is a public institution that was founded in 1821 and is located in Quebec, Canada. The university has...",74.6,"32,309",61.0666922,-107.991707,45.5031824,-73.5698065
https://www.usnews.com/education/best-global-universities/ohio-state-university-204796,https://www.usnews.com/object/image/0000016c-9c08-d1ec-a97f-9c0a322b0000/$190816ohio_state_university--columbus2?size=responsive300&update-time=,Ohio State University,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Columbus,#55,,74.4,"55,814",39.7837304,-100.445882,39.9622601,-83.0007065
https://www.usnews.com/education/best-global-universities/university-of-maryland-college-park-163286,https://www.usnews.com/static-atlas/assets/img/education/education.svg,University of Maryland College Park,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,College Park,#57,,74.3,"33,775",39.7837304,-100.445882,38.980666,-76.9369189
https://www.usnews.com/education/best-global-universities/university-of-minnesota-twin-cities-174066,https://www.usnews.com/object/image/0000016c-9c0e-d1ec-a97f-9c0e5cd40000/$190816university_of_minnesota--twin_cities2?size=responsive300&update-time=,University of Minnesota Twin Cities,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Minneapolis,#57,,74.3,"45,276",39.7837304,-100.445882,44.9772995,-93.2654692
https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444,https://www.usnews.com/object/image/0000016c-9c0a-d1ec-a97f-9c0ac2330000/$190816university_of_wisconsin--madison18?size=responsive300&update-time=,University of Wisconsin Madison,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Madison,#63,"The University of Wisconsin—Madison, founded in 1848, is a public university located in the U.S. Midwest. Madison is the...",73.8,"40,701",39.7837304,-100.445882,43.074761,-89.3837613
https://www.usnews.com/education/best-global-universities/university-of-california-davis-110644,https://www.usnews.com/static-atlas/assets/img/education/education.svg,University of California Davis,https://www.usnews.com/static-atlas/assets/img/news/best-countries/flags-svg/USA.svg,United States,Davis,#73,,72.9,,39.7837304,-100.445882,40.7474784,-92.3965311
